bedrooms,bedroom_category,unit_or_number,property_name,rent_from_ZAR_per_day,website,max_persons,wifi_included,dstv_mentioned,smart_tv_mentioned,pool_mentioned,braai_mentioned,jetty_mentioned,pets_policy,linen_mentioned,towels_mentioned,beach_towels_mentioned,garage_availability_note,unavailability_note,domestic_service_note,description,raw_text
3,Three,34,PLYMOUTH HOE,6500,https://www.pamgolding.co.za/property-details/house-to-rent-royal-alfred-marina/1pf1581067,,True,True,True,True,True,False,,True,False,,not available,"Linen provided | DSTV included | Uncapped Fibre included | Smart included, so tenant will have access to Netflix| Garage is not available for tenants use | Domestic worker to come every Wednesday, at an additional charge of R200 per day to the tenant","Linen provided | DSTV included | Uncapped Fibre included | Smart included, so tenant will have access to Netflix| Garage is not available for tenants use | Domestic worker to come every Wednesday, at an additional charge of R200 per day to the tenant","RENT FROM R6,500 per day
Website Link: https://www.pamgolding.co.za/property-details/house-to-rent-royal-alfred-marina/1pf1581067
The light, bright and open plan interior is perfect for that holiday feel. Comprising of three bedrooms, 2 and a half bathrooms (one en-suite), and a study, it offers ample accommodation.
The fully equipped kitchen opens up to the dining room and lounge. The lounge flows seamlessly through staking doors onto an undercover braai area.
The main bedroom is carpeted and has access to the patio area with stunning river views. The en-suite bathroom has a shower, bath, toilet and basin. The second and third bedrooms, share the guest bathroom that has lovely finishes and amazing walk-in shower.
22 000 litres of water is supplied to the whole house from the water tanks.
Linen provided | DSTV included | Uncapped Fibre included | Smart included, so tenant will have access to Netflix| Garage is not available for tenants use | Domestic worker to come every Wednesday, at an additional charge of R200 per day to the tenant
The property also has solar connected to it, therefore will be able to make use of this during loadshedding.
Additional complex amenities:
- Swimming pool
- Tennis courts
- Jungle gym
- squash courts","34 PLYMOUTH HOE:
RENT FROM R6,500 per day
Website Link: https://www.pamgolding.co.za/property-details/house-to-rent-royal-alfred-marina/1pf1581067
The light, bright and open plan interior is perfect for that holiday feel. Comprising of three bedrooms, 2 and a half bathrooms (one en-suite), and a study, it offers ample accommodation.
The fully equipped kitchen opens up to the dining room and lounge. The lounge flows seamlessly through staking doors onto an undercover braai area.
The main bedroom is carpeted and has access to the patio area with stunning river views. The en-suite bathroom has a shower, bath, toilet and basin. The second and third bedrooms, share the guest bathroom that has lovely finishes and amazing walk-in shower.
22 000 litres of water is supplied to the whole house from the water tanks.
Linen provided | DSTV included | Uncapped Fibre included | Smart included, so tenant will have access to Netflix| Garage is not available for tenants use | Domestic worker to come every Wednesday, at an additional charge of R200 per day to the tenant
The property also has solar connected to it, therefore will be able to make use of this during loadshedding.
Additional complex amenities:
- Swimming pool
- Tennis courts
- Jungle gym
- squash courts
Port Alfred, known as the heart of the Sunshine Coast, is well positioned along the coast and is easily accessible via Port Elizabeth, East London and Grahamstown. Its most favorable attractions include the Kowie River - navigable for 27km and with plenty of recreational opportunity, The East Beach - ideal for surfing, The West Beach and Kelly's Blue Flag swimming beach, as well as the Prestigious Royal Alfred Marina and Small Boat Harbour. For paradise on holiday, peaceful retirement or perfect family living, Port Alfred just has that something special."
3,Three,6,LOERIE STREET,6500,https://www.pamgolding.co.za/property-details/house-to-rent-west-beach-port-alfred/1pf1549141,,True,True,False,True,True,False,,True,True,True,,,,"RENT FROM R6,500 per day
Website Link: https://www.pamgolding.co.za/property-details/house-to-rent-west-beach-port-alfred/1pf1549141
This newly renovated holiday home with views of the Ocean as well as being in close proximity to Port Alfred's' Blue Flag Beach, Kelly's beach. Offering three spacious bedrooms and three bathrooms, all recently renovated.
The outdoor living and entertainment areas are the heart of this gorgeous property! Open plan dining, living and kitchen which open up and out onto the deck, as well as an indoor braai area. A small splash pool is an added extra to this home.
Linen and towels provided | Beach towels to be provided by tenant | Alarm included | Dstv Available | WiFi Available","6 LOERIE STREET:
RENT FROM R6,500 per day
Website Link: https://www.pamgolding.co.za/property-details/house-to-rent-west-beach-port-alfred/1pf1549141
This newly renovated holiday home with views of the Ocean as well as being in close proximity to Port Alfred's' Blue Flag Beach, Kelly's beach. Offering three spacious bedrooms and three bathrooms, all recently renovated.
The outdoor living and entertainment areas are the heart of this gorgeous property! Open plan dining, living and kitchen which open up and out onto the deck, as well as an indoor braai area. A small splash pool is an added extra to this home.
Linen and towels provided | Beach towels to be provided by tenant | Alarm included | Dstv Available | WiFi Available
Port Alfred, known as the heart of the Sunshine Coast, is well positioned along the coast and is easily accessible via Port Elizabeth, East London and Grahamstown. Its most favorable attractions include the Kowie River - navigable for 27km and with plenty of recreational opportunity, The East Beach - ideal for surfing, The West Beach and Kelly's Blue Flag swimming beach, as well as the Prestigious Royal Alfred Marina and Small Boat Harbour. For paradise on holiday, peaceful retirement or perfect family living, Port Alfred just has that something special."
3,Three,71,SEA LORDS WAY,6750,https://www.pamgolding.co.za/property-details/double-storey-house-to-rent-royal-alfred-marina/1pf1719961,,True,False,True,False,False,True,,False,False,,not available,,,"RENT FROM R6,750 per day
Website Link: https://www.pamgolding.co.za/property-details/double-storey-house-to-rent-royal-alfred-marina/1pf1719961
Nestled in a picturesque location, this newly renovated 3-bedroom house is a haven of tranquillity that offers the perfect blend of modern luxury and breathtaking natural beauty.
Step inside and be greeted by a spacious open plan lounge that welcomes an abundance of natural light, creating a warm and inviting atmosphere. The sliding doors in each room effortlessly lead you onto a patio, allowing you to immerse yourself in the serenity of the surrounding landscape while enjoying the seamless indoor/outdoor living.
The dining room provides an elegant space for enjoying meals with loved ones.
This home provides an expansive family kitchen equipped with all necessary appliances.
Upstairs you will find a lounge or family TV room offering the perfect place to unwind.
Conveniently situated close to the Marina swimming pools, tennis courts and squash courts it is ideally positioned and offers exclusive use of a private jetty for your enjoyment.
Rental includes:
WIFI
Solar System
Smart TV's
Garage will not be available for use of the tenant.
To book this luxury home for your next holiday, contact Andrea today!","71 SEA LORDS WAY:
RENT FROM R6,750 per day
Website Link: https://www.pamgolding.co.za/property-details/double-storey-house-to-rent-royal-alfred-marina/1pf1719961
Nestled in a picturesque location, this newly renovated 3-bedroom house is a haven of tranquillity that offers the perfect blend of modern luxury and breathtaking natural beauty.
Step inside and be greeted by a spacious open plan lounge that welcomes an abundance of natural light, creating a warm and inviting atmosphere. The sliding doors in each room effortlessly lead you onto a patio, allowing you to immerse yourself in the serenity of the surrounding landscape while enjoying the seamless indoor/outdoor living.
The dining room provides an elegant space for enjoying meals with loved ones.
This home provides an expansive family kitchen equipped with all necessary appliances.
Upstairs you will find a lounge or family TV room offering the perfect place to unwind.
Conveniently situated close to the Marina swimming pools, tennis courts and squash courts it is ideally positioned and offers exclusive use of a private jetty for your enjoyment.
Rental includes:
WIFI
Solar System
Smart TV's
Garage will not be available for use of the tenant.
To book this luxury home for your next holiday, contact Andrea today!"
3,Three,36,SIR FRANCIS DRAKES COURT,7300,https://www.pamgolding.co.za/property-details/house-to-rent-port-alfred/1pf1678256,,True,True,True,True,True,True,,False,False,,,,,"RENT FROM R7,300 per day
Website Link: https://www.pamgolding.co.za/property-details/house-to-rent-port-alfred/1pf1678256
Located within the Royal Alfred Marina, this single level, west facing home is available for holiday rental.
Interior living is spacious, with an open plan design and a generous flow throughout, a separate scullery, and stacking door access to outdoor entertainment. Here you will find a large undercover patio fitted with a built in braai, overlooking your own swimming pool on the water's edge. Private jetty access is a valuable extra.
Three well-sized, luxurious, and en-suite bedrooms are all fitted with BIC and present ample room for accommodation.
Including Wi-Fi | Smart TV available for use | No DSTV
Additional complex amenities:
- Swimming pool
- Tennis courts
- Jungle gym
- squash courts","36 SIR FRANCIS DRAKES COURT:
RENT FROM R7,300 per day
Website Link: https://www.pamgolding.co.za/property-details/house-to-rent-port-alfred/1pf1678256
Located within the Royal Alfred Marina, this single level, west facing home is available for holiday rental.
Interior living is spacious, with an open plan design and a generous flow throughout, a separate scullery, and stacking door access to outdoor entertainment. Here you will find a large undercover patio fitted with a built in braai, overlooking your own swimming pool on the water's edge. Private jetty access is a valuable extra.
Three well-sized, luxurious, and en-suite bedrooms are all fitted with BIC and present ample room for accommodation.
Including Wi-Fi | Smart TV available for use | No DSTV
Additional complex amenities:
- Swimming pool
- Tennis courts
- Jungle gym
- squash courts
Port Alfred, known as the heart of the Sunshine Coast, is well positioned along the coast and is easily accessible via Port Elizabeth, East London and Grahamstown. Its most favorable attractions include the Kowie River - navigable for 27km and with plenty of recreational opportunity, The East Beach - ideal for surfing, The West Beach and Kelly's Blue Flag swimming beach, as well as the Prestigious Royal Alfred Marina and Small Boat Harbour. For paradise on holiday, peaceful retirement or perfect family living, Port Alfred just has that something special."
3,Three,64,SEA LORDS WAY,8200,https://www.pamgolding.co.za/property-details/house-to-rent-royal-alfred-marina/1pf1720737,,True,False,True,True,False,False,,False,False,,,,Please note: A domestic worker is required three days a week at R250 per day.,"RENT FROM R8200 per day
Website Link: https://www.pamgolding.co.za/property-details/house-to-rent-royal-alfred-marina/1pf1720737
Modern Marina Magic – Pool, River Views & Luxury Living
Step into this stunning 3-bedroom, 2-bathroom home (En-suite on the Main Bedroom) in the exclusive Royal Alfred Marina — the perfect blend of modern comfort and coastal charm. The open-plan living area flows beautifully onto a private courtyard with a sparkling pool and out to a lush garden that leads right to the river's edge.
Enjoy lazy afternoons by the pool, sunset braais with both gas and wood fire options, and cozy evenings streaming your favorites on the Smart TV. The home is fitted with top-end appliances, super fast WiFi, and everything you need for a luxurious, stress-free stay.
Spotless, stylish, and simply to die for — this is your ultimate marina escape.
Please note: A domestic worker is required three days a week at R250 per day.","64 SEA LORDS WAY
RENT FROM R8200 per day
Website Link: https://www.pamgolding.co.za/property-details/house-to-rent-royal-alfred-marina/1pf1720737
Modern Marina Magic – Pool, River Views & Luxury Living
Step into this stunning 3-bedroom, 2-bathroom home (En-suite on the Main Bedroom) in the exclusive Royal Alfred Marina — the perfect blend of modern comfort and coastal charm. The open-plan living area flows beautifully onto a private courtyard with a sparkling pool and out to a lush garden that leads right to the river's edge.
Enjoy lazy afternoons by the pool, sunset braais with both gas and wood fire options, and cozy evenings streaming your favorites on the Smart TV. The home is fitted with top-end appliances, super fast WiFi, and everything you need for a luxurious, stress-free stay.
Spotless, stylish, and simply to die for — this is your ultimate marina escape.
Please note: A domestic worker is required three days a week at R250 per day."
4,Four,13,CHATHAM STREET,3950,https://www.pamgolding.co.za/property-details/house-to-rent-forest-downs/1pf1709930,,True,False,False,False,True,False,,True,True,,,,Domestic worker can be arranged during a guests stay on request at an additional charge per day.,"RENT FROM R3,950 per day
Website Link: https://www.pamgolding.co.za/property-details/house-to-rent-forest-downs/1pf1709930
Welcome to your dream holiday home!
The perfect holiday home for the entertainers. This property offers four spacious bedrooms, one with an en-suite bathroom and one with their own private bathroom.
Large open plan living room and lounge area, with an entertainment area upstairs. The large stacking doors in the lounge open up onto a beautiful patio with distant sea views and built in braai area.
The modern kitchen offers ample cupboard and counter top space with a separate scullery and dishwasher.
Valuable extra amenities include:
- WIFI
- Washing machine and dishwasher
- Ample rain water storage
- Alarm system
- Linen and bath towels
Domestic worker can be arranged during a guests stay on request at an additional charge per day.","13 CHATHAM STREET:
RENT FROM R3,950 per day
Website Link: https://www.pamgolding.co.za/property-details/house-to-rent-forest-downs/1pf1709930
Welcome to your dream holiday home!
The perfect holiday home for the entertainers. This property offers four spacious bedrooms, one with an en-suite bathroom and one with their own private bathroom.
Large open plan living room and lounge area, with an entertainment area upstairs. The large stacking doors in the lounge open up onto a beautiful patio with distant sea views and built in braai area.
The modern kitchen offers ample cupboard and counter top space with a separate scullery and dishwasher.
Valuable extra amenities include:
- WIFI
- Washing machine and dishwasher
- Ample rain water storage
- Alarm system
- Linen and bath towels
Domestic worker can be arranged during a guests stay on request at an additional charge per day.
Port Alfred, known as the heart of the Sunshine Coast, is well positioned along the coast and is easily accessible via Port Elizabeth, East London and Grahamstown. Its most favorable attractions include the Kowie River - navigable for 27km and with plenty of recreational opportunity, The East Beach - ideal for surfing, The West Beach and Kelly's Blue Flag swimming beach, as well as the Prestigious Royal Alfred Marina and Small Boat Harbour. For paradise on holiday, peaceful retirement or perfect family living, Port Alfred just has that something special."
4,Four,15,MARLIN ROAD,4000,https://www.pamgolding.co.za/property-details/house-to-rent-west-bank-port-alfred/1pf1536079,,True,True,False,True,False,False,pet friendly,True,True,,not available,,,"RENT FROM R4,000 per day
Website Link: https://www.pamgolding.co.za/property-details/house-to-rent-west-bank-port-alfred/1pf1536079
Escape to a tranquil retreat with your loved ones and enjoy a perfect holiday at this spacious four-bedroomed home. This stunning property offers ample space for a large family or group of friends looking for an idyllic getaway.
The entertainment and outdoor living areas are the heart and soul of this home, creating a seamless flow between indoor and outdoor living. The open plan kitchen is fully equipped and invites guests to cook and share meals together while enjoying the beautiful surroundings.
Three bedrooms are located on a split level, offering maximum privacy and comfort. Each room is equipped with ample cupboard space, and two rooms share a spacious bathroom. The main bedroom boasts an en-suite bathroom, ensuring guests have all the necessary amenities.
For larger groups or extended family, a self-contained flat is included in the rental and serves as the fourth bedroom, providing a comfortable and private space to relax.
Ample parking is available, with garages out of bounds. The rental is pet friendly, so you can bring your furry friends along for the adventure. Linen and towels are included, as well as DSTV for your entertainment needs. WIFI is also included.
Safety and security are top priorities, and the house is equipped with an alarm system to ensure peace of mind. The garden and pool maintenance are included, ensuring a beautiful and well-maintained outdoor space to enjoy. Should you require assistance, a house worker is available on request.
Experience the magic of December in this beautiful home and make unforgettable memories with your loved ones. Book now and make your dream holiday a reality!","15 MARLIN ROAD:
RENT FROM R4,000 per day
Website Link: https://www.pamgolding.co.za/property-details/house-to-rent-west-bank-port-alfred/1pf1536079
Escape to a tranquil retreat with your loved ones and enjoy a perfect holiday at this spacious four-bedroomed home. This stunning property offers ample space for a large family or group of friends looking for an idyllic getaway.
The entertainment and outdoor living areas are the heart and soul of this home, creating a seamless flow between indoor and outdoor living. The open plan kitchen is fully equipped and invites guests to cook and share meals together while enjoying the beautiful surroundings.
Three bedrooms are located on a split level, offering maximum privacy and comfort. Each room is equipped with ample cupboard space, and two rooms share a spacious bathroom. The main bedroom boasts an en-suite bathroom, ensuring guests have all the necessary amenities.
For larger groups or extended family, a self-contained flat is included in the rental and serves as the fourth bedroom, providing a comfortable and private space to relax.
Ample parking is available, with garages out of bounds. The rental is pet friendly, so you can bring your furry friends along for the adventure. Linen and towels are included, as well as DSTV for your entertainment needs. WIFI is also included.
Safety and security are top priorities, and the house is equipped with an alarm system to ensure peace of mind. The garden and pool maintenance are included, ensuring a beautiful and well-maintained outdoor space to enjoy. Should you require assistance, a house worker is available on request.
Port Alfred, known as the heart of the Sunshine Coast, is well positioned along the coast and is easily accessible via Port Elizabeth, East London and Grahamstown. Its most favorable attractions include the Kowie River - navigable for 27km and with plenty of recreational opportunity, The East Beach - ideal for surfing, The West Beach and Kelly's Blue Flag swimming beach, as well as the Prestigious Royal Alfred Marina and Small Boat Harbour. For paradise on holiday, peaceful retirement or perfect family living, Port Alfred just has that something special.
Experience the magic of December in this beautiful home and make unforgettable memories with your loved ones. Book now and make your dream holiday a reality!"
4,Four,22,PRINCES AVENUE,4500,https://www.pamgolding.co.za/property-details/house-to-rent-west-beach-port-alfred/1pf1722441,,True,False,True,True,True,False,no pets,False,False,,,Not available from 27 December 2026 – 12 January 2027,,"RENT FROM R4,500 per day
Website Link: https://www.pamgolding.co.za/property-details/house-to-rent-west-beach-port-alfred/1pf1722441
Welcome to Your Perfect Family Getaway in Port Alfred!
This inviting 3-bedroom, 2-bathroom home (including a main en-suite) offers everything you need for a relaxed and memorable stay. A cosy separate flatlet with its own bedroom, bathroom, and kitchenette provides extra space and privacy—allowing the property to comfortably sleep up to 8 guests.
Enjoy sunny days around the beautiful swimming pool, gather for relaxed afternoons at the braai, and unwind in the comfortable living area equipped with a smart TV and WiFi.
Perfectly located, the home is within walking distance of the Port Alfred Golf Course and the paddle courts, making it ideal for guests who enjoy staying active.
Family-friendly and welcoming, this property promises an easygoing, enjoyable getaway.
Please note: the swimming pool does not have a cover, so extra caution is advised for guests with young children.
NOT PET FRIENDLY.
Not available from 27 December 2026 – 12 January 2027","22 PRINCES AVENUE:
RENT FROM R4,500 per day
Website Link: https://www.pamgolding.co.za/property-details/house-to-rent-west-beach-port-alfred/1pf1722441
Welcome to Your Perfect Family Getaway in Port Alfred!
This inviting 3-bedroom, 2-bathroom home (including a main en-suite) offers everything you need for a relaxed and memorable stay. A cosy separate flatlet with its own bedroom, bathroom, and kitchenette provides extra space and privacy—allowing the property to comfortably sleep up to 8 guests.
Enjoy sunny days around the beautiful swimming pool, gather for relaxed afternoons at the braai, and unwind in the comfortable living area equipped with a smart TV and WiFi.
Perfectly located, the home is within walking distance of the Port Alfred Golf Course and the paddle courts, making it ideal for guests who enjoy staying active.
Family-friendly and welcoming, this property promises an easygoing, enjoyable getaway.
Please note: the swimming pool does not have a cover, so extra caution is advised for guests with young children.
NOT PET FRIENDLY.
Not available from 27 December 2026 – 12 January 2027"
4,Four,6,KING FISHER ROAD,5000,https://www.pamgolding.co.za/property-details/house-to-rent-west-beach-port-alfred/1pf1720027,,True,True,False,False,True,False,,False,True,True,not available,,* Domestic services are available at the tenants cost.,"RENT FROM R5,000 per day
Website Link: https://www.pamgolding.co.za/property-details/house-to-rent-west-beach-port-alfred/1pf1720027
Holiday in this spacious home, boasting 4 bedrooms - 2 en-suite, 2 lounges, a well-sized undercover patio with braai area, stunning sea views. DSTV and WIFI is included in this beachfront rental, and other amenities include a dishwasher, washing machine and tumble dryer.
* Domestic services are available at the tenants cost.
* Please bring your own beach towels.
*Regret no garages
*There is a working single tenant on the property, she has her own entrance and will not be in the tenants environment.
Please feel free to contact us for more information!","6 KING FISHER ROAD:
RENT FROM R5,000 per day
Website Link: https://www.pamgolding.co.za/property-details/house-to-rent-west-beach-port-alfred/1pf1720027
Holiday in this spacious home, boasting 4 bedrooms - 2 en-suite, 2 lounges, a well-sized undercover patio with braai area, stunning sea views. DSTV and WIFI is included in this beachfront rental, and other amenities include a dishwasher, washing machine and tumble dryer.
* Domestic services are available at the tenants cost.
* Please bring your own beach towels.
*Regret no garages
*There is a working single tenant on the property, she has her own entrance and will not be in the tenants environment.
Please feel free to contact us for more information!"
4,Four,20,SIR FRANCIS DRAKES COURT,5500,https://www.pamgolding.co.za/property-details/house-to-rent-royal-alfred-marina/1pf1677703,10.0,True,True,False,True,False,True,,False,True,,,,,"RENT FROM R5,500 per day
Website Link: https://www.pamgolding.co.za/property-details/house-to-rent-royal-alfred-marina/1pf1677703
Four Bedroom Marina holiday home, which is well equipped for the perfect family holiday!
This home has four bedrooms, with 2 en-suite bathrooms, 2 lounges, a built-in bar with a separate kitchen and scullery. 1 bedroom and 1 lounge is located downstairs, with the other 3 bedrooms and lounge being upstairs.
The downstairs bedroom has a King-sized bed with the bathroom across from the bedroom. The main bedroom has a King-sized bed with an en-suite bathroom. The two additional guest bedrooms have one with two double bunk beds and the other room has two single beds in them.
Property can sleep 10 persons.
The property has a private jetty.
Tenants to provide their own DSTV decoder and card
Rental excludes WIFI
Tenant to provide their own towels.
Rental will exclude the use of the garages as well as the storerooms will be locked.
Additional complex amenities:
- Swimming pool
- Tennis courts
- Jungle gym
- squash courts","20 SIR FRANCIS DRAKES COURT:
RENT FROM R5,500 per day
Website Link: https://www.pamgolding.co.za/property-details/house-to-rent-royal-alfred-marina/1pf1677703
Four Bedroom Marina holiday home, which is well equipped for the perfect family holiday!
This home has four bedrooms, with 2 en-suite bathrooms, 2 lounges, a built-in bar with a separate kitchen and scullery. 1 bedroom and 1 lounge is located downstairs, with the other 3 bedrooms and lounge being upstairs.
The downstairs bedroom has a King-sized bed with the bathroom across from the bedroom. The main bedroom has a King-sized bed with an en-suite bathroom. The two additional guest bedrooms have one with two double bunk beds and the other room has two single beds in them.
Property can sleep 10 persons.
The property has a private jetty.
Tenants to provide their own DSTV decoder and card
Rental excludes WIFI
Tenant to provide their own towels.
Rental will exclude the use of the garages as well as the storerooms will be locked.
Additional complex amenities:
- Swimming pool
- Tennis courts
- Jungle gym
- squash courts
Port Alfred, known as the heart of the Sunshine Coast, is well positioned along the coast and is easily accessible via Port Elizabeth, East London and Grahamstown. Its most favorable attractions include the Kowie River - navigable for 27km and with plenty of recreational opportunity, The East Beach - ideal for surfing, The West Beach and Kelly's Blue Flag swimming beach, as well as the Prestigious Royal Alfred Marina and Small Boat Harbour. For paradise on holiday, peaceful retirement or perfect family living, Port Alfred just has that something special."
4,Four,66,SEA LORDS WAY,6250,https://www.pamgolding.co.za/property-details/house-to-rent-royal-alfred-marina/1pf1619259,,True,True,True,True,False,True,,False,False,,,,"Mandatory for tenant to use the homes owners domestic worker, every Monday, Wednesday and Friday, this will be at an additional charge of R300 per day to be paid to the domestic worker.","RENT FROM R6,250 per day
Website Link: https://www.pamgolding.co.za/property-details/house-to-rent-royal-alfred-marina/1pf1619259
Located on the Royal Alfred Marina, this home is the perfect fit for your family holiday. Experience the ultimate waterfront lifestyle in this stunning three-bedroom marina home. With its own private jetty, you can enjoy the convenience of boating right from your backyard. The home features a spacious family lounge or TV room, perfect for relaxing with loved ones. The medium-sized kitchen is perfect for preparing meals and entertaining guests. With two bathrooms, there's plenty of space for everyone. Don't miss out on this incredible opportunity to live the holiday dream!
The house itself has three bedrooms with the garage having been turned into an additional bedroom. Property can accommodate 10 persons.
Mandatory for tenant to use the homes owners domestic worker, every Monday, Wednesday and Friday, this will be at an additional charge of R300 per day to be paid to the domestic worker.
WIFI included in the rental
Smart TV's are in the property for tenants to connect up with their own DSTV and Netflix accounts
Rental also includes an inverter system that powers the TV's and lights only.
Additional complex amenities:
- Swimming pool
- Tennis courts
- Jungle gym
- squash courts
Property is also available for Rental throughout the year. Please enquire with Andrea for out of season rates.
To book this cozy holiday home, contact us today!","66 SEA LORDS WAY:
RENT FROM R6,250 per day
Website Link: https://www.pamgolding.co.za/property-details/house-to-rent-royal-alfred-marina/1pf1619259
Located on the Royal Alfred Marina, this home is the perfect fit for your family holiday. Experience the ultimate waterfront lifestyle in this stunning three-bedroom marina home. With its own private jetty, you can enjoy the convenience of boating right from your backyard. The home features a spacious family lounge or TV room, perfect for relaxing with loved ones. The medium-sized kitchen is perfect for preparing meals and entertaining guests. With two bathrooms, there's plenty of space for everyone. Don't miss out on this incredible opportunity to live the holiday dream!
The house itself has three bedrooms with the garage having been turned into an additional bedroom. Property can accommodate 10 persons.
Mandatory for tenant to use the homes owners domestic worker, every Monday, Wednesday and Friday, this will be at an additional charge of R300 per day to be paid to the domestic worker.
WIFI included in the rental
Smart TV's are in the property for tenants to connect up with their own DSTV and Netflix accounts
Rental also includes an inverter system that powers the TV's and lights only.
Additional complex amenities:
- Swimming pool
- Tennis courts
- Jungle gym
- squash courts
Port Alfred, known as the heart of the Sunshine Coast, is well positioned along the coast and is easily accessible via Port Elizabeth, East London and Grahamstown. Its most favorable attractions include the Kowie River - navigable for 27km and with plenty of recreational opportunity, The East Beach - ideal for surfing, The West Beach and Kelly's Blue Flag swimming beach, as well as the Prestigious Royal Alfred Marina and Small Boat Harbour. For paradise on holiday, peaceful retirement or perfect family living, Port Alfred just has that something special.
Property is also available for Rental throughout the year. Please enquire with Andrea for out of season rates.
To book this cozy holiday home, contact us today!"
4,Four,11,ARMADA VIEW,7000,https://www.pamgolding.co.za/property-details/house-to-rent-royal-alfred-marina/1pf1640376,,False,False,False,True,True,True,no pets,True,True,True,not available,,,"RENT FROM R7,000 per day
Website Link: https://www.pamgolding.co.za/property-details/house-to-rent-royal-alfred-marina/1pf1640376
Escape to the Royal Alfred Marina with this stunning 4 bedroom holiday home, perfect for families or groups of up to 8 people. Boasting modern and open plan interiors, this single-level property is ideal for those looking for a comfortable and relaxing stay in the heart of the sunshine coast.
With four spacious bedrooms, two of which are en-suite, this home offers ample accommodation for all guests. The interior living spaces include two lounges and open plan dining and kitchen areas, perfect for socializing and entertaining. The kitchen is equipped with an under-counter oven and electric glass hob, and a separate scullery provides washing machine facilities.
For outdoor entertainment, the property offers built-in braai facilities, a private swimming pool, and access to a private jetty for guests to use for their boats. Please note that there is no garage access, but safe parking for 2-3 vehicles is available.
The property also includes a 4500l rainwater tank, which feeds the whole property, ensuring a sustainable and eco-friendly stay. Please bring your own bath and beach towels, although two sets of linen per bed will be provided.
Regretfully, no pets allowed
Additional complex amenities:
- Swimming pool
- Tennis courts
- Jungle gym
- squash courts
Don't miss out on the chance to stay in this idyllic holiday home for only R7000 per day. Book your stay now and enjoy the perfect holiday on the Royal Alfred Marina!","11 ARMADA VIEW:
RENT FROM R7,000 per day
Website Link: https://www.pamgolding.co.za/property-details/house-to-rent-royal-alfred-marina/1pf1640376
Escape to the Royal Alfred Marina with this stunning 4 bedroom holiday home, perfect for families or groups of up to 8 people. Boasting modern and open plan interiors, this single-level property is ideal for those looking for a comfortable and relaxing stay in the heart of the sunshine coast.
With four spacious bedrooms, two of which are en-suite, this home offers ample accommodation for all guests. The interior living spaces include two lounges and open plan dining and kitchen areas, perfect for socializing and entertaining. The kitchen is equipped with an under-counter oven and electric glass hob, and a separate scullery provides washing machine facilities.
For outdoor entertainment, the property offers built-in braai facilities, a private swimming pool, and access to a private jetty for guests to use for their boats. Please note that there is no garage access, but safe parking for 2-3 vehicles is available.
The property also includes a 4500l rainwater tank, which feeds the whole property, ensuring a sustainable and eco-friendly stay. Please bring your own bath and beach towels, although two sets of linen per bed will be provided.
Regretfully, no pets allowed
Additional complex amenities:
- Swimming pool
- Tennis courts
- Jungle gym
- squash courts
Port Alfred, known as the heart of the Sunshine Coast, is well positioned along the coast and is easily accessible via Port Elizabeth, East London and Grahamstown. Its most favorable attractions include the Kowie River - navigable for 27km and with plenty of recreational opportunity, The East Beach - ideal for surfing, The West Beach and Kelly's Blue Flag swimming beach, as well as the Prestigious Royal Alfred Marina and Small Boat Harbour. For paradise on holiday, peaceful retirement or perfect family living, Port Alfred just has that something special.
Don't miss out on the chance to stay in this idyllic holiday home for only R7000 per day. Book your stay now and enjoy the perfect holiday on the Royal Alfred Marina!"
